origin,dest,avg_daily_trips,allocated_demand_tons_per_day,required_trains_per_day,utilization_ratio_trains,distance_km,avg_speed_kmh,ton_km_per_day,efficiency_grade,importance_score,distance_category,origin_eng,latitude,longitude,dest_eng,latitude_dest,longitude_dest,origin_centrality,origin_hub_type,origin_hub_type_eng,dest_centrality,dest_hub_type,dest_hub_type_eng,corridor_grade,corridor_grade_eng,origin_region,dest_region,inter_regional
가야,의왕,6,118.30881424977036,0.11830881424977037,0.019718135708295063,401.5,41.17948717948718,38235.58058668477,매우낮음,0.31098528854986224,초장거리,Gaya,35.15585,129.0427,Uiwang,37.3211,126.94838,0.003998269793609488,말단역,Terminal,0.04206309905137566,말단역,Terminal,C급 (보조),C-grade (Support),남부,중부,True
가천,제천조차장,7,138.02694995806542,0.13802694995806541,0.01971813570829506,215.8,39.11782477341391,44608.17735113223,매우낮음,0.36281616997483923,장거리,Gacheon,35.85361,128.69306,JecheonYard,37.12769,128.1785,0.011269057522250376,말단역,Terminal,0.3272044515385864,주요 허브,Major Hub,C급 (보조),C-grade (Support),중남부,중부,True
간치,제천조차장,7,138.02694995806542,0.13802694995806541,0.01971813570829506,253.8,44.78823529411765,44608.17735113223,매우낮음,0.36281616997483923,장거리,Ganchi,36.20982,126.62076,JecheonYard,37.12769,128.1785,0.007966883551809337,말단역,Terminal,0.3272044515385864,주요 허브,Major Hub,C급 (보조),C-grade (Support),중남부,중부,True
광양,신례원,12,236.61762849954073,0.23661762849954074,0.019718135708295063,278.3,48.211126273047995,76471.16117336955,매우낮음,0.6219705770997245,장거리,Gwangyang,34.95611,127.58778,Sillyewon,36.72714,126.84972,0.03522870542381626,말단역,Terminal,0.003978038143045689,말단역,Terminal,B급 (일반),B-grade (General),남부,중부,True
광양,천안,12,236.61762849954073,0.23661762849954074,0.019718135708295063,306.5,53.98402255639098,76471.16117336955,매우낮음,0.6219705770997245,초장거리,Gwangyang,34.95611,127.58778,Cheonan,36.81012,127.14683,0.03522870542381626,말단역,Terminal,0.030071364885365763,말단역,Terminal,B급 (일반),B-grade (General),남부,중부,True
광운대,도담,7,138.02694995806542,0.13802694995806541,0.01971813570829506,160.8,44.05479452054795,44608.17735113223,매우낮음,0.36281616997483923,중거리,Gwangwoondae,37.62369,127.06191,Dodam,37.02436,128.3265,0.011869094700967739,말단역,Terminal,0.06600172599010236,중간 허브,Intermediate Hub,C급 (보조),C-grade (Support),북부,중부,True
광운대,입석리,7,138.02694995806542,0.13802694995806541,0.01971813570829506,158.6,48.06060606060606,44608.17735113223,매우낮음,0.36281616997483923,중거리,Gwangwoondae,37.62369,127.06191,Ipseokri,37.19686,128.29764,0.011869094700967739,말단역,Terminal,0.025212927299791455,말단역,Terminal,C급 (보조),C-grade (Support),북부,중부,True
광운대,제천조차장,6,118.30881424977036,0.11830881424977037,0.019718135708295063,142.6,45.26984126984127,38235.58058668477,매우낮음,0.31098528854986224,중거리,Gwangwoondae,37.62369,127.06191,JecheonYard,37.12769,128.1785,0.011869094700967739,말단역,Terminal,0.3272044515385864,주요 허브,Major Hub,C급 (보조),C-grade (Support),북부,중부,True
괴동,도담,7,138.02694995806542,0.13802694995806541,0.01971813570829506,240.4,39.84530386740331,44608.17735113223,매우낮음,0.36281616997483923,장거리,Goedong,35.99667,129.375,Dodam,37.02436,128.3265,0.14825346908270137,중간 허브,Intermediate Hub,0.06600172599010236,중간 허브,Intermediate Hub,C급 (보조),C-grade (Support),중남부,중부,True
괴동,순천,7,138.02694995806542,0.13802694995806541,0.01971813570829506,328.2,44.25168539325843,44608.17735113223,매우낮음,0.36281616997483923,초장거리,Goedong,35.99667,129.375,Suncheon,34.94637,127.50221,0.14825346908270137,중간 허브,Intermediate Hub,0.04965907560352373,말단역,Terminal,C급 (보조),C-grade (Support),중남부,남부,True
